location,time,level

Half-Moon-Bay-California, 3:51 PM PST,-0.41 m

Half-Moon-Bay-California, 4:37 PM PST,-0.41 m

Half-Moon-Bay-California, 5:21 PM PST,-0.34 m

Half-Moon-Bay-California, 7:24 AM PST,0.52 m

Half-Moon-Bay-California, 8:26 AM PST,0.49 m

Half-Moon-Bay-California, 9:35 AM PST,0.44 m

Half-Moon-Bay-California,10:45 AM PST,0.38 m

Half-Moon-Bay-California,11:52 AM PST,0.30 m

Half-Moon-Bay-California,12:52 PM PST,0.20 m

Half-Moon-Bay-California, 1:42 PM PST,0.12 m

Half-Moon-Bay-California, 2:24 PM PST,0.05 m

Half-Moon-Bay-California, 3:01 PM PST,-0.01 m

Half-Moon-Bay-California, 3:35 PM PST,-0.04 m

Half-Moon-Bay-California, 4:06 PM PST,-0.06 m

Half-Moon-Bay-California, 4:37 PM PST,-0.05 m

Half-Moon-Bay-California, 5:07 PM PST,-0.02 m

Half-Moon-Bay-California, 5:39 PM PST,0.03 m

Half-Moon-Bay-California, 7:29 AM PST,0.45 m

Half-Moon-Bay-California, 8:29 AM PST,0.38 m

Half-Moon-Bay-California, 9:37 AM PST,0.29 m

Half-Moon-Bay-California,10:50 AM PST,0.18 m

Half-Moon-Bay-California,12:00 PM PST,0.05 m

Half-Moon-Bay-California, 1:02 PM PST,-0.09 m

Half-Moon-Bay-California, 1:58 PM PST,-0.19 m

Half-Moon-Bay-California, 2:47 PM PST,-0.26 m

Half-Moon-Bay-California, 3:32 PM PST,-0.27 m

Half-Moon-Bay-California, 4:15 PM PST,-0.23 m

Huntington-Beach, 2:42 PM PST,-0.10 meters

Huntington-Beach, 3:25 PM PST,-0.09 meters

Huntington-Beach, 4:06 PM PST,-0.01 meters

Huntington-Beach, 4:47 PM PST,0.13 meters

Huntington-Beach, 6:52 AM PST,0.91 meters

Huntington-Beach, 8:14 AM PST,0.93 meters

Huntington-Beach, 9:55 AM PST,0.86 meters

Huntington-Beach,11:13 AM PST,0.75 meters

Huntington-Beach,12:09 PM PST,0.62 meters

Huntington-Beach,12:50 PM PST,0.50 meters

Huntington-Beach, 1:23 PM PST,0.40 meters

Huntington-Beach, 1:54 PM PST,0.32 meters

Huntington-Beach, 2:24 PM PST,0.27 meters

Huntington-Beach, 2:51 PM PST,0.25 meters

Huntington-Beach, 3:20 PM PST,0.26 meters

Huntington-Beach, 3:47 PM PST,0.31 meters

Huntington-Beach, 4:14 PM PST,0.38 meters

Huntington-Beach, 4:40 PM PST,0.49 meters

Huntington-Beach, 5:09 PM PST,0.61 meters

Huntington-Beach, 5:38 PM PST,0.75 meters

Huntington-Beach, 6:51 AM PST,0.86 meters

Huntington-Beach, 8:21 AM PST,0.82 meters

Huntington-Beach, 9:58 AM PST,0.69 meters

Huntington-Beach,11:13 AM PST,0.50 meters

Huntington-Beach,12:11 PM PST,0.31 meters

Huntington-Beach,12:58 PM PST,0.16 meters

Huntington-Beach, 1:41 PM PST,0.06 meters

Huntington-Beach, 2:21 PM PST,0.03 meters

Huntington-Beach, 2:59 PM PST,0.07 meters

Providence-Rhode-Island,12:23 PM EST,-0.25 m

Providence-Rhode-Island, 1:18 PM EST,-0.29 m

Providence-Rhode-Island, 2:09 PM EST,-0.30 m

Providence-Rhode-Island, 2:55 PM EST,-0.29 m

Providence-Rhode-Island, 3:37 PM EST,-0.23 m

Providence-Rhode-Island, 4:17 PM EST,-0.15 m

Providence-Rhode-Island, 4:56 PM EST,-0.06 m

Providence-Rhode-Island, 7:04 AM EST,0.27 m

Providence-Rhode-Island, 9:53 AM EST,0.35 m

Providence-Rhode-Island, 8:04 AM EST,0.30 m

